EMPRESA,,1T Online,1T25,1T24,AH% 1T25-1T24,2T25,2T24,AH% 2T25-2T24,3T25,3T24,AH% 3T25-3T24,4T25,4T24,AH% 4T25-4T24,2025,2024,AH% 25-24,,2026,2025,P/L,EV/Ebitda
DMVF3,,0 ,0 ,-2,"108,14%",5 ,11 ,"-50,30%",8 ,10 ,"-26,83%",,4 ,"-100,00%",13,23,"-43,32%",,"3,71%","44,99%","16,07","1,72"
DXCO3,,46 ,46 ,148,"-68,89%",32 ,97 ,"-67,31%",11 ,92 ,"-88,11%",,23 ,"-100,00%",89,360,"-75,35%",,"-25,03%","21,69%","37,87","5,64"
EALT4,,42 ,15 ,8,"77,60%",5 ,16 ,"-71,37%",39 ,20 ,"95,61%",,21 ,"-100,00%",59,65,"-9,96%",,"51,26%","44,90%","2,56","4,66"
ECOR3,,147 ,147 ,113,"30,07%",204 ,268 ,"-23,92%",430 ,263 ,"63,79%",,263 ,"-100,00%",781,906,"-13,83%",,"-53,77%","113,86%","7,65","5,32"
EGIE3,,769 ,769 ,882,"-12,83%",516 ,871 ,"-40,75%",680 ,655 ,"3,87%",,1.069 ,"-100,00%",1.965,3.477,"-43,48%",,"-16,82%","28,07%","11,65","8,61"
ELET3,,-353,-353,489,"-172,25%",-1.325,1.740 ,"-176,14%",-5.448,7.195 ,"-175,72%",,1.114 ,"-100,00%",-7.126,10.539,"-167,62%",,"-16,64%","1,40%","-22,53","16,37"
ELMD3,,21 ,21 ,-16,"228,34%",21 ,3 ,"618,50%",21 ,28 ,"-23,55%",,60 ,"-100,00%",63,75,"-15,18%",,"83,53%","53,08%","39,74","11,64"
EMAE4,,34 ,34 ,19,"82,07%",32 ,32 ,"0,43%",287 ,38 ,"662,66%",,-37,"100,00%",354,51,"591,67%",,"-26,97%","-8,40%","4,48","6,54"
EMBR3,,434 ,434 ,-368,"217,86%",449 ,521 ,"-13,81%",449 ,991 ,"-54,74%",,264 ,"-100,00%",1.332,1.408,"-5,41%",,"150,96%","56,46%","26,57","10,58"
ENEV3,,384 ,384 ,223,"72,45%",364 ,1.067 ,"-65,83%",352 ,103 ,"242,55%",,-1.067,"100,00%",1.101,326,"237,80%",,"-22,63%","14,08%","1.104,58","8,81"
ENGI11,,776 ,776 ,400,"93,92%",257 ,506 ,"-49,14%",439 ,553 ,"-20,68%",,1.829 ,"-100,00%",1.472,3.288,"-55,24%",,"-29,44%","26,27%","7,46","6,33"
ENJU3,,-7,-7,-9,"25,55%",-8,-8,"1,35%",-2,-3,"8,73%",,-3,"100,00%",-17,-23,"25,47%",,"-37,87%","74,23%","-10,31","0,15"
EQTL3,,556 ,556 ,164,"239,78%",1.074 ,508 ,"111,14%",1.074 ,760 ,"41,25%",,1.264 ,"-100,00%",2.703,2.696,"0,28%",,"-21,64%","34,05%","13,44","7,32"
ESPA3,,12 ,12 ,7,"75,43%",3 ,2 ,"54,64%",-8,-10,"17,49%",,4 ,"-100,00%",7,3,"100,20%",,"-39,34%","-8,27%","36,77","4,19"
ETER3,,-11,-11,22,"-148,91%",31 ,12 ,"161,96%",19 ,19 ,"1,94%",,8 ,"-100,00%",39,61,"-35,82%",,"-38,02%","-17,81%","5,42","4,86"
EUCA4,,96 ,96 ,86,"11,33%",85 ,67 ,"27,05%",85 ,44 ,"91,89%",,34 ,"-100,00%",266,231,"15,14%",,"-12,33%","115,32%","6,35","3,04"
EVEN3,,54 ,54 ,75,"-28,12%",49 ,101 ,"-51,62%",90 ,-110,"181,92%",,-14,"100,00%",193,52,"269,61%",,"-26,08%","91,88%","8,98","8,94"
EZTC3,,94 ,94 ,42,"122,85%",140 ,89 ,"57,79%",140 ,133 ,"5,52%",,127 ,"-100,00%",374,390,"-4,16%",,"-37,77%","40,83%","8,58","12,33"
FESA4,,24 ,24 ,132,"-81,61%",19 ,57 ,"-67,15%",46 ,103 ,"-55,66%",,42 ,"-100,00%",89,334,"-73,42%",,"-25,45%","-8,63%","11,32","3,94"
FHER3,,60 ,60 ,128,"-53,59%",-29,-343,"91,58%",-13,-9,"-43,68%",,-658,"100,00%",18,-882,"102,00%",,"-16,22%","-57,15%","-0,37","-0,97"
FLRY3,,179 ,179 ,94,"91,03%",152 ,174 ,"-12,26%",185 ,191 ,"-3,04%",,84 ,"-100,00%",517,542,"-4,72%",,"-30,23%","25,34%","13,7","5,38"
FRAS3,,68 ,68 ,89,"-24,23%",48 ,40 ,"21,21%",106 ,87 ,"22,90%",,134 ,"-100,00%",222,349,"-36,37%",,"24,13%","81,78%","19,35","8,42"
GFSA3,,21 ,21 ,-34,"162,13%",7 ,5 ,"44,42%",7 ,-67,"110,20%",,2 ,"-100,00%",35,-94,"136,86%",,"-86,70%","5,25%","-1,82","-7,34"
GGBR4,,749 ,749 ,3.206,"-76,62%",856 ,859 ,"-0,33%",1.079 ,1.347 ,"-19,89%",,316 ,"-100,00%",2.685,5.728,"-53,13%",,"-4,59%","-9,64%","12,51","4,86"
GMAT3,,315 ,315 ,237,"32,86%",344 ,324 ,"5,98%",851 ,373 ,"127,94%",,383 ,"-100,00%",1.509,1.317,"14,54%",,"-9,03%","13,61%","5,98","4,61"
GOAU4,,258 ,258 ,1.095,"-76,46%",300 ,291 ,"2,94%",382 ,458 ,"-16,58%",,110 ,"-100,00%",940,1.954,"-51,91%",,"-1,65%","-4,33%","10,25","2,05"
GOLL4,,1.376 ,1.376 ,620,"122,16%",-1.532,-3.908,"60,81%",248 ,-830,"129,85%",,-5.116,"100,00%",92,-9.235,"101,00%",,"-85,51%","22,21%","-189,23","405,91"
GRND3,,113 ,113 ,123,"-7,92%",144 ,42 ,"244,74%",138 ,224 ,"-38,04%",,330 ,"-100,00%",395,719,"-44,98%",,"-26,29%","40,58%","5,88","7,04"
GUAR3,,-27,-27,-176,"84,83%",143 ,57 ,"151,18%",74 ,45 ,"63,03%",,250 ,"-100,00%",190,176,"7,75%",,"-3,76%","0,31%","11,94","3,52"
HAPV3,,186 ,186 ,-343,"154,33%",-331,-381,"13,07%",87 ,-81,"207,22%",,-252,"100,00%",-58,-1.057,"94,49%",,"-49,89%","-12,40%","-27,64","6,23"
HBOR3,,8 ,8 ,7,"15,18%",2 ,9 ,"-80,65%",0 ,9 ,"-94,94%",,32 ,"-100,00%",10,56,"-82,74%",,"-59,57%","80,02%","9,32","10,79"
HBSA3,,23 ,23 ,20,"15,82%",81 ,-56,"244,08%",116 ,-49,"339,17%",,-446,"100,00%",220,-531,"141,53%",,"-30,20%","74,34%","-23,52","12,26"
HYPE3,,-140,-140,338,"-141,35%",427 ,493 ,"-13,42%",458 ,376 ,"21,59%",,80 ,"-100,00%",744,1.287,"-42,17%",,"-47,33%","-18,78%","19,53","15,88"
IGTI11,,107 ,107 ,49,"119,25%",209 ,76 ,"173,98%",121 ,101 ,"19,46%",,141 ,"-100,00%",437,368,"18,95%",,"-26,91%","34,34%","13,37","9,74"
INBR32,,287 ,287 ,195,"47,18%",315 ,223 ,"41,26%",,260 ,"-100,00%",,275,"-100,00%",510,953,"-46,48%",,,,,
INEP3,,-70,-70,-71,"1,04%",-50,-94,"46,58%",-295,-11,"-2489,26%",,-70,"100,00%",-416,-246,"-68,63%",,"-66,59%","-29,75%","-0,14","-11,31"
INTB3,,61 ,61 ,132,"-53,39%",137 ,118 ,"15,69%",148 ,130 ,"13,68%",,127 ,"-100,00%",346,507,"-31,72%",,"-40,62%","-26,26%","9,1","6,97"
IRBR3,,134 ,134 ,9,"1468,24%",0 ,65 ,"-100,00%",0 ,48,"-100,00%",,-237,"100,00%",134,-116,"216,08%",,"-4,18%","71,71%","9,5",          -
ISAE4,,,,749,"-100,00%",,536 ,"-100,00%",785 ,1.107 ,"-29,12%",,26 ,"-100,00%",785,2.419,"-67,55%",,"-8,68%","24,08%","6,17","8,77"
ITSA4,,3.914 ,3.914 ,2.798,"39,89%",4.066 ,3.762 ,"8,08%",4.207 ,3.819 ,"10,16%",,3.722 ,"-100,00%",12.187,14.101,"-13,57%",,"-5,13%","35,65%","8,16","93,02"
ITUB4,,10.876 ,10.876 ,7.773,"39,92%",11.375 ,9.263 ,"22,80%",11.760 ,10.043 ,"17,10%",,9.201 ,"-100,00%",34.011,36.280,"-6,25%",,"-3,80%","41,06%","10,29",          -
JALL3,,-73,-73,120,"-161,24%",-14,-2,"-487,17%",19 ,34 ,"-43,98%",,-73,"100,00%",-69,78,"-187,96%",,"-40,24%","8,29%","-10,54","3,61"
JBSS3,,2.924 ,2.924 ,-1.453,"301,27%",3.036 ,1.715 ,"76,99%",3.036 ,3.843 ,"-21,00%",,2.412 ,"-100,00%",8.995,6.517,"38,02%",,"58,23%","19,66%","2,77","3,21"
JHSF3,,348 ,348 ,87,"299,33%",236 ,160 ,"47,35%",236 ,148 ,"59,15%",,410 ,"-100,00%",820,806,"1,78%",,"-28,31%","22,09%","4,22","11,58"
JSLG3,,32 ,32 ,27,"19,07%",21 ,107 ,"-80,04%",18 ,44 ,"-58,70%",,23 ,"-100,00%",71,201,"-64,40%",,"-53,62%","131,46%","17,05","4,53"
KEPL3,,26 ,26 ,51,"-50,13%",14 ,37 ,"-61,10%",52 ,60 ,"-13,53%",,50 ,"-100,00%",92,198,"-53,84%",,"-7,85%","18,34%","11,84","7,47"
KLBN11,,401 ,401 ,1.165,"-65,55%",572 ,289 ,"97,81%",478 ,719 ,"-33,50%",,398 ,"-100,00%",1.451,2.570,"-43,54%",,"21,84%","18,33%","11,95","4,92"
LAVV3,,87 ,87 ,26,"239,27%",119 ,66 ,"79,75%",104 ,87 ,"20,07%",,120 ,"-100,00%",309,298,"3,80%",,"-8,26%","102,97%","7,53","7,69"
LEVE3,,159 ,159 ,186,"-14,71%",127 ,89 ,"42,94%",127 ,142 ,"-10,59%",,111 ,"-100,00%",412,527,"-21,80%",,"-16,53%","58,91%","7,82","5,65"
LIGT3,,419 ,419 ,107,"291,29%",-51,-52,"0,30%",33 ,158 ,"-79,30%",,158 ,"-100,00%",400,371,"8,03%",,"-38,43%","72,79%","0,87","3,72"
LJQQ3,,-31,-31,-22,"-39,10%",-46,-56,"18,35%",-42,-4,"-1046,44%",,6 ,"-100,00%",-119,-76,"-56,64%",,"-62,46%","49,52%","-3,9","4,13"
LOGG3,,86 ,86 ,27,"214,01%",87 ,92 ,"-5,35%",111 ,97 ,"14,71%",,99 ,"-100,00%",285,316,"-9,88%",,"-11,37%","48,98%","5,49","22,47"
LOGN3,,27 ,27 ,38,"-30,90%",25 ,7 ,"238,15%",19 ,-13,"247,18%",,51 ,"-100,00%",71,84,"-15,39%",,"-46,17%","9,66%","30,39","8,78"
LPSB3,,5 ,5 ,5,"1,37%",16 ,8 ,"104,89%",16 ,6 ,"180,49%",,3 ,"-100,00%",36,21,"73,78%",,"-39,38%","40,12%","6,8","2,07"
LREN3,,221 ,221 ,47,"372,64%",404 ,315 ,"28,42%",279 ,255 ,"9,45%",,487 ,"-100,00%",905,1.104,"-18,05%",,"-20,48%","-11,79%","11,38","3,05"
LUPA3,,-11,-11,-10,"-12,94%",-13,-23,"45,63%",-13,-10,"-28,75%",,9 ,"-100,00%",-37,-34,"-6,45%",,"-47,79%","-42,46%","-1,67","-11,44"
LWSA3,,15 ,15 ,7,"104,73%",16 ,18 ,"-13,72%",-288,17 ,"-1804,23%",,-17,"100,00%",-257,25,"-1130,62%",,"-43,81%","-13,64%","-8,55","7,61"
MBLY3,,-90,-90,-23,"-301,31%",,-15,"100,00%",,-22,"100,00%",,-90,"100,00%",-90,-150,"39,70%",,"-22,66%","-32,33%",,
